frame.time_epoch,tcp.stream,ip.src,ip.dst,tcp.len,tcp.payload,time_epoch,payload_bytes,is_i_frame,ns,nr,asdu_bytes,backward_ns,jump_ns,asdu_fp,fp_total_count,is_rare_fp,stale_fp,fp_age_s,window_id,repeat_fp_count,high_rep_density
1771818005.681489,0,192.168.100.10,192.168.100.20,18,6810fc5858450b01010001006e00006f6100,1771818005.681489,b'h\x10\xfcXXE\x0b\x01\x01\x00\x01\x00n\x00\x00oa\x00',True,11390,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00oa\x00',False,False,bd10194d409018dbc77f2d6e6c01863f92418d2b,1,True,False,0.0,177181800,0,False
1771818006.688161,0,192.168.100.10,192.168.100.20,18,6810fe5858450b01010001006e0000706100,1771818006.688161,b'h\x10\xfeXXE\x0b\x01\x01\x00\x01\x00n\x00\x00pa\x00',True,11391,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00pa\x00',False,False,b0213c9620808fea32d054005c60dec2b1797993,1,True,False,0.0,177181800,0,False
1771818007.700735,0,192.168.100.10,192.168.100.20,18,6810005958450b01010001006e0000716100,1771818007.700735,b'h\x10\x00YXE\x0b\x01\x01\x00\x01\x00n\x00\x00qa\x00',True,11392,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00qa\x00',False,False,1213c0fe5009ca356ba0a217634bf3c652471425,1,True,False,0.0,177181800,0,False
1771818008.709126,0,192.168.100.10,192.168.100.20,18,6810025958450b01010001006e0000726100,1771818008.709126,b'h\x10\x02YXE\x0b\x01\x01\x00\x01\x00n\x00\x00ra\x00',True,11393,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00ra\x00',False,False,8d56706be02e440a80b609a04ebb0b653f715f28,1,True,False,0.0,177181800,0,False
1771818009.717367,0,192.168.100.10,192.168.100.20,18,6810045958450b01010001006e0000736100,1771818009.717367,b'h\x10\x04YXE\x0b\x01\x01\x00\x01\x00n\x00\x00sa\x00',True,11394,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00sa\x00',False,False,071f1f9e1b25de2cac4884c8dbff61cc103b0562,1,True,False,0.0,177181800,0,False
1771818010.725043,0,192.168.100.10,192.168.100.20,18,6810065958450b01010001006e0000746100,1771818010.725043,b'h\x10\x06YXE\x0b\x01\x01\x00\x01\x00n\x00\x00ta\x00',True,11395,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00ta\x00',False,False,77b198eef3841f6c164778dffc135d90b3a4002e,1,True,False,0.0,177181801,0,False
1771818011.525086,0,192.168.100.20,192.168.100.10,16,680e5845085964010603010000000014,1771818011.525086,b'h\x0eXE\x08Yd\x01\x06\x03\x01\x00\x00\x00\x00\x14',True,8876,11396,b'd\x01\x06\x03\x01\x00\x00\x00\x00\x14',False,True,3eb07ebc1df23e6ba82f5916145a488233f11a40,20,False,False,10.092360973358154,177181801,0,False
1771818011.527582,0,192.168.100.10,192.168.100.20,16,680e08595a4564010703010000000014,1771818011.527582,b'h\x0e\x08YZEd\x01\x07\x03\x01\x00\x00\x00\x00\x14',True,11396,8877,b'd\x01\x07\x03\x01\x00\x00\x00\x00\x14',False,True,fe894bba52d504171840b3e044e3c5bf04624b44,20,False,False,10.091405868530273,177181801,0,False
1771818011.528494,0,192.168.100.10,192.168.100.20,30,681c0a595a450b0314000100640000ffff00650000170000660000fc0800,1771818011.528494,b'h\x1c\nYZE\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',True,11397,8877,b'\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',False,False,4d6a7c4a5a118047e9930151a7ef59d4a75992fc,20,False,False,10.09231686592102,177181801,0,False
1771818011.530748,0,192.168.100.10,192.168.100.20,79,68120c595a45010214000100680000016900000068150e595a450188140001002c01000100010001000100681210595a45070114000100f40100aaaa000000680e12595a4564010a03010000000014,1771818011.530748,"b'h\x12\x0cYZE\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x15\x0eYZE\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00h\x12\x10YZE\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e\x12YZEd\x01\n\x03\x01\x00\x00\x00\x00\x14'",True,11398,8877,"b'\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x15\x0eYZE\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00h\x12\x10YZE\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e\x12YZEd\x01\n\x03\x01\x00\x00\x00\x00\x14'",False,False,bb2217ffb3b35f3840b328e9e9acbececd047fca,1,True,False,0.0,177181801,0,False
1771818011.730082,0,192.168.100.10,192.168.100.20,18,681014595a450b01010001006e0000756100,1771818011.730082,b'h\x10\x14YZE\x0b\x01\x01\x00\x01\x00n\x00\x00ua\x00',True,11402,8877,b'\x0b\x01\x01\x00\x01\x00n\x00\x00ua\x00',False,False,dbbc6b5d003bc7af865b5e7c7f1e3451d304f3af,1,True,False,0.0,177181801,0,False
1771818012.739189,0,192.168.100.10,192.168.100.20,18,681016595a450b01010001006e0000766100,1771818012.739189,b'h\x10\x16YZE\x0b\x01\x01\x00\x01\x00n\x00\x00va\x00',True,11403,8877,b'\x0b\x01\x01\x00\x01\x00n\x00\x00va\x00',False,False,1f6ec3371a61842dfa6edaef746937a8bfd1f886,1,True,False,0.0,177181801,0,False
