frame.time_epoch,ip.src,ip.dst,tcp.seq,tcp.len
1771809481.721071000,192.168.100.20,192.168.100.10,197,6
1771809481.721886000,192.168.100.10,192.168.100.20,2190,0
1771809481.951070000,192.168.100.20,192.168.100.10,203,16
1771809481.953096000,192.168.100.10,192.168.100.20,2190,0
1771809481.954720000,192.168.100.10,192.168.100.20,2190,16
1771809481.954721000,192.168.100.10,192.168.100.20,2206,30
1771809481.955786000,192.168.100.10,192.168.100.20,2236,79
1771809481.959058000,192.168.100.20,192.168.100.10,219,0
1771809482.758863000,192.168.100.10,192.168.100.20,2315,18
1771809482.802761000,192.168.100.20,192.168.100.10,219,0
1771809483.762940000,192.168.100.10,192.168.100.20,2333,18
1771809483.762979000,192.168.100.20,192.168.100.10,219,0
1771809483.763980000,192.168.100.20,192.168.100.10,219,6
1771809483.811483000,192.168.100.10,192.168.100.20,2351,0
1771809484.774239000,192.168.100.10,192.168.100.20,2351,18
1771809484.815032000,192.168.100.20,192.168.100.10,225,0
1771809485.783956000,192.168.100.10,192.168.100.20,2369,18
1771809485.784108000,192.168.100.20,192.168.100.10,225,0
1771809486.792070000,192.168.100.10,192.168.100.20,2387,18
1771809486.792231000,192.168.100.20,192.168.100.10,225,0
1771809487.804648000,192.168.100.10,192.168.100.20,2405,18
1771809487.804690000,192.168.100.20,192.168.100.10,225,0
1771809488.811959000,192.168.100.10,192.168.100.20,2423,18
1771809488.812043000,192.168.100.20,192.168.100.10,225,0
1771809489.819033000,192.168.100.10,192.168.100.20,2441,18
1771809489.819186000,192.168.100.20,192.168.100.10,225,0
1771809490.727611000,192.168.100.10,192.168.100.20,2459,18
1771809490.727652000,192.168.100.20,192.168.100.10,225,0
1771809491.736105000,192.168.100.10,192.168.100.20,2477,18
1771809491.736269000,192.168.100.20,192.168.100.10,225,0
1771809491.737431000,192.168.100.20,192.168.100.10,225,6
1771809491.742647000,192.168.100.10,192.168.100.20,2495,0
1771809491.981161000,192.168.100.20,192.168.100.10,231,16
1771809491.982431000,192.168.100.10,192.168.100.20,2495,0
1771809491.982737000,192.168.100.10,192.168.100.20,2495,16
1771809491.983168000,192.168.100.10,192.168.100.20,2511,30
1771809491.983413000,192.168.100.10,192.168.100.20,2541,20
1771809491.983557000,192.168.100.20,192.168.100.10,247,0
1771809491.984289000,192.168.100.10,192.168.100.20,2561,23
1771809491.984553000,192.168.100.10,192.168.100.20,2584,20
1771809491.984647000,192.168.100.20,192.168.100.10,247,0
1771809491.984870000,192.168.100.10,192.168.100.20,2604,16
1771809492.027041000,192.168.100.20,192.168.100.10,247,0
1771809492.790875000,192.168.100.10,192.168.100.20,2620,18
1771809492.790899000,192.168.100.20,192.168.100.10,247,0
1771809493.797478000,192.168.100.10,192.168.100.20,2638,18
1771809493.797516000,192.168.100.20,192.168.100.10,247,0
1771809493.797963000,192.168.100.20,192.168.100.10,247,6
1771809493.839805000,192.168.100.10,192.168.100.20,2656,0
1771809494.805745000,192.168.100.10,192.168.100.20,2656,18
1771809494.846811000,192.168.100.20,192.168.100.10,253,0
1771809495.812150000,192.168.100.10,192.168.100.20,2674,18
1771809495.812181000,192.168.100.20,192.168.100.10,253,0
1771809496.815712000,192.168.100.10,192.168.100.20,2692,18
1771809496.815783000,192.168.100.20,192.168.100.10,253,0
1771809497.823335000,192.168.100.10,192.168.100.20,2710,18
1771809497.823412000,192.168.100.20,192.168.100.10,253,0
1771809498.828721000,192.168.100.10,192.168.100.20,2728,18
1771809498.828748000,192.168.100.20,192.168.100.10,253,0
1771809499.735166000,192.168.100.10,192.168.100.20,2746,18
1771809499.735203000,192.168.100.20,192.168.100.10,253,0
1771809500.741026000,192.168.100.10,192.168.100.20,2764,18
1771809500.741076000,192.168.100.20,192.168.100.10,253,0
1771809501.751031000,192.168.100.10,192.168.100.20,2782,18
1771809501.751079000,192.168.100.20,192.168.100.10,253,0
1771809501.752223000,192.168.100.20,192.168.100.10,253,6
1771809501.754015000,192.168.100.10,192.168.100.20,2800,0
1771809502.045845000,192.168.100.20,192.168.100.10,259,16
1771809502.047034000,192.168.100.10,192.168.100.20,2800,0
1771809502.047455000,192.168.100.10,192.168.100.20,2800,16
1771809502.048019000,192.168.100.10,192.168.100.20,2816,30
1771809502.048320000,192.168.100.10,192.168.100.20,2846,20
1771809502.048320000,192.168.100.10,192.168.100.20,2866,23
1771809502.048669000,192.168.100.20,192.168.100.10,275,0
1771809502.049380000,192.168.100.10,192.168.100.20,2889,20
1771809502.049683000,192.168.100.10,192.168.100.20,2909,16
1771809502.049943000,192.168.100.20,192.168.100.10,275,0
1771809502.754741000,192.168.100.10,192.168.100.20,2925,18
1771809502.798892000,192.168.100.20,192.168.100.10,275,0
1771809503.764714000,192.168.100.10,192.168.100.20,2943,18
1771809503.764764000,192.168.100.20,192.168.100.10,275,0
1771809503.766094000,192.168.100.20,192.168.100.10,275,6
1771809503.808624000,192.168.100.10,192.168.100.20,2961,0
1771809504.777473000,192.168.100.10,192.168.100.20,2961,18
1771809504.818608000,192.168.100.20,192.168.100.10,281,0
1771809505.783495000,192.168.100.10,192.168.100.20,2979,18
1771809505.783526000,192.168.100.20,192.168.100.10,281,0
1771809506.793433000,192.168.100.10,192.168.100.20,2997,18
1771809506.793507000,192.168.100.20,192.168.100.10,281,0
1771809507.802288000,192.168.100.10,192.168.100.20,3015,18
1771809507.802520000,192.168.100.20,192.168.100.10,281,0
1771809508.810163000,192.168.100.10,192.168.100.20,3033,18
1771809508.810296000,192.168.100.20,192.168.100.10,281,0
1771809509.818967000,192.168.100.10,192.168.100.20,3051,18
1771809509.819118000,192.168.100.20,192.168.100.10,281,0
1771809510.824677000,192.168.100.10,192.168.100.20,3069,18
1771809510.824804000,192.168.100.20,192.168.100.10,281,0
1771809511.832120000,192.168.100.10,192.168.100.20,3087,18
1771809511.832142000,192.168.100.20,192.168.100.10,281,0
1771809511.832564000,192.168.100.20,192.168.100.10,281,6
1771809511.833150000,192.168.100.10,192.168.100.20,3105,0
1771809512.142312000,192.168.100.20,192.168.100.10,287,16
1771809512.143229000,192.168.100.10,192.168.100.20,3105,0
1771809512.143578000,192.168.100.10,192.168.100.20,3105,16
1771809512.143578000,192.168.100.10,192.168.100.20,3121,30
1771809512.143887000,192.168.100.10,192.168.100.20,3151,20
1771809512.143887000,192.168.100.10,192.168.100.20,3171,23
1771809512.144001000,192.168.100.20,192.168.100.10,303,0
1771809512.144246000,192.168.100.10,192.168.100.20,3194,36
1771809512.187396000,192.168.100.20,192.168.100.10,303,0
1771809512.748291000,192.168.100.10,192.168.100.20,3230,18
1771809512.748310000,192.168.100.20,192.168.100.10,303,0
1771809513.755170000,192.168.100.10,192.168.100.20,3248,18
1771809513.755206000,192.168.100.20,192.168.100.10,303,0
1771809513.755740000,192.168.100.20,192.168.100.10,303,6
1771809513.796943000,192.168.100.10,192.168.100.20,3266,0
1771809514.764471000,192.168.100.10,192.168.100.20,3266,18
1771809514.806452000,192.168.100.20,192.168.100.10,309,0
1771809515.773031000,192.168.100.10,192.168.100.20,3284,18
1771809515.773055000,192.168.100.20,192.168.100.10,309,0
1771809516.777565000,192.168.100.10,192.168.100.20,3302,18
1771809516.777587000,192.168.100.20,192.168.100.10,309,0
1771809517.782867000,192.168.100.10,192.168.100.20,3320,18
1771809517.782891000,192.168.100.20,192.168.100.10,309,0
1771809518.789615000,192.168.100.10,192.168.100.20,3338,18
1771809518.789666000,192.168.100.20,192.168.100.10,309,0
1771809519.797009000,192.168.100.10,192.168.100.20,3356,18
1771809519.797035000,192.168.100.20,192.168.100.10,309,0
1771809520.802082000,192.168.100.10,192.168.100.20,3374,18
1771809520.802106000,192.168.100.20,192.168.100.10,309,0
1771809521.815896000,192.168.100.10,192.168.100.20,3392,18
1771809521.815920000,192.168.100.20,192.168.100.10,309,0
1771809521.816324000,192.168.100.20,192.168.100.10,309,6
1771809521.816715000,192.168.100.10,192.168.100.20,3410,0
1771809522.211217000,192.168.100.20,192.168.100.10,315,16
1771809522.212369000,192.168.100.10,192.168.100.20,3410,0
1771809522.213528000,192.168.100.10,192.168.100.20,3410,16
1771809522.214102000,192.168.100.10,192.168.100.20,3426,30
1771809522.214192000,192.168.100.20,192.168.100.10,331,0
1771809522.214589000,192.168.100.10,192.168.100.20,3456,20
1771809522.215202000,192.168.100.10,192.168.100.20,3476,23
1771809522.215456000,192.168.100.10,192.168.100.20,3499,20
1771809522.215644000,192.168.100.20,192.168.100.10,331,0
1771809522.216389000,192.168.100.10,192.168.100.20,3519,16
1771809522.259051000,192.168.100.20,192.168.100.10,331,0
1771809522.819404000,192.168.100.10,192.168.100.20,3535,18
1771809522.819424000,192.168.100.20,192.168.100.10,331,0
1771809523.825166000,192.168.100.10,192.168.100.20,3553,18
1771809523.825287000,192.168.100.20,192.168.100.10,331,0
1771809523.825673000,192.168.100.20,192.168.100.10,331,6
1771809523.868169000,192.168.100.10,192.168.100.20,3571,0
1771809524.833184000,192.168.100.10,192.168.100.20,3571,18
1771809524.874446000,192.168.100.20,192.168.100.10,337,0
1771809525.839501000,192.168.100.10,192.168.100.20,3589,18
1771809525.839566000,192.168.100.20,192.168.100.10,337,0
1771809526.845385000,192.168.100.10,192.168.100.20,3607,18
1771809526.845489000,192.168.100.20,192.168.100.10,337,0
1771809527.850628000,192.168.100.10,192.168.100.20,3625,18
1771809527.850649000,192.168.100.20,192.168.100.10,337,0
1771809528.857187000,192.168.100.10,192.168.100.20,3643,18
1771809528.857203000,192.168.100.20,192.168.100.10,337,0
1771809529.863092000,192.168.100.10,192.168.100.20,3661,18
1771809529.863119000,192.168.100.20,192.168.100.10,337,0
1771809530.867424000,192.168.100.10,192.168.100.20,3679,18
1771809530.867454000,192.168.100.20,192.168.100.10,337,0
1771809531.773937000,192.168.100.10,192.168.100.20,3697,18
1771809531.774039000,192.168.100.20,192.168.100.10,337,0
1771809531.775450000,192.168.100.20,192.168.100.10,337,6
1771809531.777152000,192.168.100.10,192.168.100.20,3715,0
1771809532.236127000,192.168.100.20,192.168.100.10,343,16
1771809532.237396000,192.168.100.10,192.168.100.20,3715,0
1771809532.237396000,192.168.100.10,192.168.100.20,3715,16
1771809532.237803000,192.168.100.10,192.168.100.20,3731,30
1771809532.237982000,192.168.100.20,192.168.100.10,359,0
1771809532.238276000,192.168.100.10,192.168.100.20,3761,79
1771809532.278712000,192.168.100.20,192.168.100.10,359,0
1771809532.841041000,192.168.100.10,192.168.100.20,3840,18
1771809532.841075000,192.168.100.20,192.168.100.10,359,0
1771809533.847665000,192.168.100.10,192.168.100.20,3858,18
1771809533.847705000,192.168.100.20,192.168.100.10,359,0
1771809533.848223000,192.168.100.20,192.168.100.10,359,6
1771809533.890234000,192.168.100.10,192.168.100.20,3876,0
1771809534.856875000,192.168.100.10,192.168.100.20,3876,18
1771809534.899963000,192.168.100.20,192.168.100.10,365,0
1771809535.863049000,192.168.100.10,192.168.100.20,3894,18
1771809535.863072000,192.168.100.20,192.168.100.10,365,0
1771809536.870504000,192.168.100.10,192.168.100.20,3912,18
1771809536.870528000,192.168.100.20,192.168.100.10,365,0
1771809537.776532000,192.168.100.10,192.168.100.20,3930,18
1771809537.776556000,192.168.100.20,192.168.100.10,365,0
1771809538.780843000,192.168.100.10,192.168.100.20,3948,18
1771809538.780868000,192.168.100.20,192.168.100.10,365,0
1771809539.787378000,192.168.100.10,192.168.100.20,3966,18
1771809539.787401000,192.168.100.20,192.168.100.10,365,0
1771809540.796060000,192.168.100.10,192.168.100.20,3984,18
1771809540.796082000,192.168.100.20,192.168.100.10,365,0
1771809541.804956000,192.168.100.10,192.168.100.20,4002,18
1771809541.804982000,192.168.100.20,192.168.100.10,365,0
1771809541.805499000,192.168.100.20,192.168.100.10,365,6
1771809541.806288000,192.168.100.10,192.168.100.20,4020,0
1771809542.249924000,192.168.100.20,192.168.100.10,371,16
1771809542.250829000,192.168.100.10,192.168.100.20,4020,0
1771809542.251081000,192.168.100.10,192.168.100.20,4020,16
1771809542.251082000,192.168.100.10,192.168.100.20,4036,30
1771809542.251252000,192.168.100.20,192.168.100.10,387,0
1771809542.251778000,192.168.100.10,192.168.100.20,4066,79
1771809542.295617000,192.168.100.20,192.168.100.10,387,0
1771809542.856256000,192.168.100.10,192.168.100.20,4145,18
1771809542.856282000,192.168.100.20,192.168.100.10,387,0
1771809543.860970000,192.168.100.10,192.168.100.20,4163,18
1771809543.860997000,192.168.100.20,192.168.100.10,387,0
1771809543.861437000,192.168.100.20,192.168.100.10,387,6
1771809543.903358000,192.168.100.10,192.168.100.20,4181,0
1771809544.869393000,192.168.100.10,192.168.100.20,4181,18
1771809544.911708000,192.168.100.20,192.168.100.10,393,0
1771809545.875603000,192.168.100.10,192.168.100.20,4199,18
1771809545.875632000,192.168.100.20,192.168.100.10,393,0
1771809546.882676000,192.168.100.10,192.168.100.20,4217,18
1771809546.882701000,192.168.100.20,192.168.100.10,393,0
1771809547.787104000,192.168.100.10,192.168.100.20,4235,18
1771809547.787132000,192.168.100.20,192.168.100.10,393,0
1771809548.793283000,192.168.100.10,192.168.100.20,4253,18
1771809548.793333000,192.168.100.20,192.168.100.10,393,0
1771809549.801687000,192.168.100.10,192.168.100.20,4271,18
1771809549.801714000,192.168.100.20,192.168.100.10,393,0
1771809550.805373000,192.168.100.10,192.168.100.20,4289,18
1771809550.805445000,192.168.100.20,192.168.100.10,393,0
1771809551.812195000,192.168.100.10,192.168.100.20,4307,18
1771809551.812265000,192.168.100.20,192.168.100.10,393,0
1771809551.812435000,192.168.100.20,192.168.100.10,393,6
1771809551.813242000,192.168.100.10,192.168.100.20,4325,0
1771809552.344650000,192.168.100.20,192.168.100.10,399,16
1771809552.345393000,192.168.100.10,192.168.100.20,4325,0
1771809552.346103000,192.168.100.10,192.168.100.20,4325,16
1771809552.346615000,192.168.100.10,192.168.100.20,4341,30
1771809552.346639000,192.168.100.20,192.168.100.10,415,0
1771809552.346916000,192.168.100.10,192.168.100.20,4371,20
1771809552.347269000,192.168.100.10,192.168.100.20,4391,23
1771809552.347355000,192.168.100.20,192.168.100.10,415,0
1771809552.348257000,192.168.100.10,192.168.100.20,4414,20
